dist_falha_m,k_falha_mD,fator_pressao,prof_injecao_m,P_ini_MPa,pc_ativada,cenario_geomec,coesao_usada_MPa,atrito_usado_graus,pc_entrada_usada_kPa,swirr_usado,sgr_usado,k_selante_mD,pc_selante_MPa,k_FSASP_mD,nx,ny,nz,P_falha_MPa,ano_pico_pressao,P_reativ_MPa,margem_fratura,margem_reativ,reativacao,slip_tendency,P_reativ_slip_MPa,reativacao_slip,S_selante,S_falha_selo,S_FSASP,S_falha,massa_CO2_kg,vazao_media_CO2_kg_dia,injetividade_kg_dia_MPa,risco
1100.0,10.0,1.05,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,34.614,16,38.6,26.746,3.986,false,0.168,64.682,false,0.0,0.0,0.0,0.6362,6.4304050510210395e6,880.8774042494574,530.6690141874843,MEDIO
1100.0,10.0,1.05,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,34.619,20,51.2,26.741,16.58,false,0.168,80.039,false,0.0,0.0,0.0,0.5697,6.135157725627128e6,840.4325651544012,506.30373612721667,MEDIO
1100.0,10.0,1.05,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,34.6,20,53.876,26.76,19.276,false,0.168,83.42,false,0.0,0.0,0.0,0.4943,5.989580384234756e6,820.4904635938024,494.2899697109847,MEDIO
1100.0,10.0,1.1,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,35.614,13,38.6,25.746,2.985,false,0.168,64.682,false,0.0,0.4832,0.474338,0.6464,1.0935039201833045e7,1497.950575593568,451.20691677243764,ALTO
1100.0,10.0,1.1,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,35.63,18,51.2,25.73,15.57,false,0.168,80.039,false,0.0,0.4841,0.471583,0.5955,1.0377608040501278e7,1421.5901425344214,428.2059205277031,ALTO
1100.0,10.0,1.1,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,35.698,18,53.876,25.662,18.178,false,0.168,83.42,false,0.0,0.4846,0.470337,0.5473,9.710761047909014e6,1330.2412394395908,400.690154929342,ALTO
1100.0,10.0,1.2,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,37.825,11,38.6,23.534,0.774,false,0.168,64.682,false,0.000498,0.5235,0.52156,0.6601,2.3913296101389304e7,3275.7939864916857,493.3610389785126,ALTO
1100.0,10.0,1.2,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,37.896,11,51.2,23.464,13.304,false,0.168,80.039,false,0.000599,0.5194,0.517076,0.606,2.2901631891108025e7,3137.2098480969903,472.4891481373019,ALTO
1100.0,10.0,1.2,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,38.007,11,53.876,23.353,15.869,false,0.168,83.42,false,0.000778,0.5105,0.507546,0.5598,2.2906407346986197e7,3137.864020135095,472.58767173119116,ALTO
1100.0,100.0,1.05,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,34.864,12,38.6,26.496,3.735,false,0.168,64.682,false,0.0,0.0,0.0,0.6834,1.4760961565475143e7,2022.049529517143,1218.1479798331309,MEDIO
