BLOCO_TOPO_10M,DEPT_TOPO,VSH,PHIE,KX,KZ,FACIES,COESAO_PESSIMISTA,COESAO_CENTRAL,COESAO_OTIMISTA,ATRITO_PESSIMISTA,ATRITO_CENTRAL,ATRITO_OTIMISTA,MAIOR_LACUNA_NO_BLOCO_M,COBERTURA_REAL,FORMACAO,PC_ENTRADA_PA_PESSIMISTA,SWIRR_PESSIMISTA,SGR_RESIDUAL_PESSIMISTA,PC_ENTRADA_PA_CENTRAL,SWIRR_CENTRAL,SGR_RESIDUAL_CENTRAL,PC_ENTRADA_PA_OTIMISTA,SWIRR_OTIMISTA,SGR_RESIDUAL_OTIMISTA,TEMPERATURA_C,TEMPERATURA_C_PESSIMISTA,TEMPERATURA_C_OTIMISTA,KVKH_FORMACAO_CENTRAL
570.0,570.0,0.8829082284095814,0.0308432902594056,0.0001,3.0000000000000005e-06,0,1000000.0,1543055.5613005878,8000000.0,18.0,18.77579365900084,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,36.26,34.55,37.97,0.1
580.0,580.05,0.7942677176431664,0.0557264744493617,0.0001,3.0000000000000005e-06,0,1000000.0,1915161.6884884208,8000000.0,18.0,19.307373840697743,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,36.4409,34.70075,38.18105,0.1
590.0,590.1,0.8892161442154046,0.0271296692638584,0.0001,3.0000000000000005e-06,0,1000000.0,1837596.2071166688,8000000.0,18.0,19.19656601016667,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,36.6218,34.8515,38.3921,0.1
600.0,600.0,0.8714085156249287,0.0321291003838571,0.0001,3.0000000000000005e-06,0,1000000.0,1838906.2610792324,8000000.0,18.0,19.198437515827475,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,36.8,35.0,38.6,0.1
610.0,610.05,0.8845198859708652,0.0289370838396344,0.0001,3.0000000000000005e-06,0,1000000.0,1932253.5164503811,8000000.0,18.0,19.33179073778626,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,36.9809,35.15075,38.81105,0.1
620.0,620.1,0.7882937772185787,0.0431407382545337,0.0001,3.0000000000000005e-06,0,1000000.0,2630867.7241799072,8000000.0,18.0,20.329811034542725,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,37.1618,35.301500000000004,39.0221,0.1
630.0,630.0,0.7080493253213321,0.0808049102536935,0.0001,3.0000000000000005e-06,0,1000000.0,2435412.268300244,8000000.0,18.0,20.05058895471464,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,37.34,35.45,39.230000000000004,0.1
640.0,640.05,0.8893715389922312,0.0224710351280899,0.0001,3.0000000000000005e-06,0,1000000.0,2562939.429875776,8000000.0,18.0,20.23277061410825,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,37.5209,35.60075,39.44105,0.1
650.0,650.1,0.8124586752717279,0.0335616446766537,0.0001,3.0000000000000005e-06,0,1000000.0,1861045.7977879464,8000000.0,18.0,19.230065425411357,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,37.7018,35.7515,39.652100000000004,0.1
660.0,660.0,0.8089022238610217,0.0405116795568033,0.0001,3.0000000000000005e-06,0,1000000.0,2134134.442912936,8000000.0,18.0,19.620192061304195,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,37.88,35.9,39.86,0.1
